User id,Mobile Number,Status
HY5001,5000000001,Applied
HY5002,5000000002,Applied
HY5003,5000000003,Applied
HY5004,5000000004,Applied
HY5005,5000000005,Applied
HY5006,5000000006,Applied
HY5007,5000000007,Applied
HY5008,5000000008,Applied
HY5009,5000000009,Applied
HY5010,5000000010,Applied
HY5011,5000000011,Applied
HY5012,5000000012,Applied
HY5013,5000000013,Applied
HY5014,5000000014,Applied
HY5015,5000000015,Applied
HY5016,5000000016,Applied
HY5017,5000000017,Applied
HY5018,5000000018,Applied
HY5019,5000000019,Applied
HY5020,5000000020,Applied
HY5021,5000000021,Applied
HY5022,5000000022,Applied
HY5023,5000000023,Applied
HY5024,5000000024,Applied
HY5025,5000000025,Applied
HY5026,5000000026,Applied
HY5027,5000000027,Applied
HY5028,5000000028,Applied
HY5029,5000000029,Applied
HY5030,5000000030,Applied
