User id,Mobile Number,Status,Partial Payment,Final Payment,Pending Amount
HY5001,5000000001,Payment Requested,500,1000,0
HY5002,5000000002,Completed,0,1500,0
HY5003,5000000003,Payment Requested,500,1000,0
HY5004,5000000004,Payment Requested,200,800,0
HY5005,5000000005,Completed,0,2000,0
HY5006,5000000006,Payment Requested,500,1000,0
HY5007,5000000007,Completed,0,1500,0
HY5008,5000000008,Payment Requested,200,800,0
HY5009,5000000009,Payment Requested,500,1000,0
HY5010,5000000010,Completed,0,2000,0
HY5011,5000000011,Payment Requested,500,1000,0
HY5012,5000000012,Payment Requested,200,800,0
HY5013,5000000013,Completed,0,1500,0
HY5014,5000000014,Payment Requested,500,1000,0
HY5015,5000000015,Completed,0,2000,0
HY5016,5000000016,Payment Requested,200,800,0
HY5017,5000000017,Payment Requested,500,1000,0
HY5018,5000000018,Completed,0,1500,0
HY5019,5000000019,Payment Requested,500,1000,0
HY5020,5000000020,Payment Requested,200,800,0
HY5021,5000000021,Completed,0,2000,0
HY5022,5000000022,Payment Requested,500,1000,0
HY5023,5000000023,Completed,0,1500,0
HY5024,5000000024,Payment Requested,200,800,0
HY5025,5000000025,Payment Requested,500,1000,0
HY5026,5000000026,Completed,0,2000,0
HY5027,5000000027,Payment Requested,500,1000,0
HY5028,5000000028,Payment Requested,200,800,0
HY5029,5000000029,Completed,0,1500,0
HY5030,5000000030,Payment Requested,500,1000,0
